Time resolution is 1 ps
Time =                    0 | Reset = 1 | Count = xxxx | SSD = xxxxxxx | cat = x
Time =              4085000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =              4105000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              4115000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              4125000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              4145000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              4165000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              4185000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              4205000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              4225000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              4245000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              4265000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              4285000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              4305000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              4315000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4325000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4345000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4365000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4385000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4405000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4425000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4445000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4465000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4485000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4505000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4525000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4545000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4565000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4585000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4605000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4625000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4645000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4665000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4685000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4705000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4725000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4745000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4765000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4785000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4805000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4825000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4845000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4865000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              4885000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              4905000 | Reset = 1 | Co
